title,year,rating,genres,description,director,url
The Shawshank Redemption,,9.3,Drama,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,https://www.imdb.com/title/tt0111161/
The Godfather,,9.2,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,https://www.imdb.com/title/tt0068646/
The Dark Knight,,9.0,"Action, Crime, Drama","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,https://www.imdb.com/title/tt0468569/
The Godfather Part II,,9.0,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,https://www.imdb.com/title/tt0071562/
12 Angry Men,,9.0,"Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,,9.0,"Adventure, Drama, Fantasy",Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,https://www.imdb.com/title/tt0167260/
Schindler&apos;s List,,9.0,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,https://www.imdb.com/title/tt0108052/
Pulp Fiction,,8.9,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,,8.9,"Adventure, Drama, Fantasy",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,https://www.imdb.com/title/tt0120737/
"Il buono, il brutto, il cattivo",,8.8,"Adventure, Western",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,https://www.imdb.com/title/tt0060196/
Forrest Gump,,8.8,"Drama, Romance","The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Two Towers,,8.8,"Adventure, Drama, Fantasy","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",Peter Jackson,https://www.imdb.com/title/tt0167261/
Fight Club,,8.8,"Crime, Drama, Thriller",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,https://www.imdb.com/title/tt0137523/
Inception,,8.8,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,https://www.imdb.com/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,,8.7,"Action, Adventure, Fantasy","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner,https://www.imdb.com/title/tt0080684/
The Matrix,,8.7,"Action, Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,https://www.imdb.com/title/tt0133093/
GoodFellas,,8.7,"Biography, Crime, Drama","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,https://www.imdb.com/title/tt0099685/
Interstellar,,8.7,"Adventure, Drama, Sci-Fi","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,https://www.imdb.com/title/tt0816692/
One Flew Over the Cuckoo&apos;s Nest,,8.7,Drama,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.,Milos Forman,https://www.imdb.com/title/tt0073486/
Se7en,,8.6,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,https://www.imdb.com/title/tt0114369/
It&apos;s a Wonderful Life,,8.6,"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,,8.6,"Crime, Drama, Horror","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,https://www.imdb.com/title/tt0102926/
Shichinin no samurai,,8.6,"Action, Drama","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Akira Kurosawa,https://www.imdb.com/title/tt0047478/
Saving Private Ryan,,8.6,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,https://www.imdb.com/title/tt0120815/
Cidade de Deus,,8.6,"Crime, Drama","In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,https://www.imdb.com/title/tt0317248/
The Green Mile,,8.6,"Crime, Drama, Fantasy",A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Frank Darabont,https://www.imdb.com/title/tt0120689/
La vita è bella,,8.6,"Comedy, Drama, Romance","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Roberto Benigni,https://www.imdb.com/title/tt0118799/
Terminator 2: Judgment Day,,8.6,"Action, Adventure, Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,https://www.imdb.com/title/tt0103064/
Star Wars,,8.6,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",George Lucas,https://www.imdb.com/title/tt0076759/
Back to the Future,,8.5,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,https://www.imdb.com/title/tt0088763/
Sen to Chihiro no kamikakushi,,8.6,"Animation, Adventure, Family","During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Hayao Miyazaki,https://www.imdb.com/title/tt0245429/
The Pianist,,8.5,"Biography, Drama, Music","During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski,https://www.imdb.com/title/tt0253474/
Gladiator,,8.5,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,https://www.imdb.com/title/tt0172495/
Gisaengchung,,8.5,"Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,https://www.imdb.com/title/tt6751668/
Psycho,,8.5,"Drama, Horror, Mystery",A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Alfred Hitchcock,https://www.imdb.com/title/tt0054215/
The Lion King,,8.5,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,https://www.imdb.com/title/tt0110357/
Hotaru no haka,,8.5,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,https://www.imdb.com/title/tt0095327/
The Departed,,8.5,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,https://www.imdb.com/title/tt0407887/
Whiplash,,8.5,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,Damien Chazelle,https://www.imdb.com/title/tt2582802/
Seppuku,,8.6,"Drama, Mystery","When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",Masaki Kobayashi,https://www.imdb.com/title/tt0056058/
The Prestige,,8.5,"Drama, Mystery, Sci-Fi",Rival 19th-century magicians engage in a bitter battle for trade secrets.,Christopher Nolan,https://www.imdb.com/title/tt0482571/
American History X,,8.5,"Crime, Drama","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",Tony Kaye,https://www.imdb.com/title/tt0120586/
Léon,,8.5,"Action, Crime, Drama",An Italian hit man protects a New York orphan.,Luc Besson,https://www.imdb.com/title/tt0110413/
Spider-Man: Across the Spider-Verse,,8.5,"Animation, Action, Adventure","Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",Joaquim Dos Santos,https://www.imdb.com/title/tt9362722/
Casablanca,,8.5,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,https://www.imdb.com/title/tt0034583/
The Usual Suspects,,8.5,"Crime, Drama, Mystery",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,https://www.imdb.com/title/tt0114814/
Intouchables,,8.5,"Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,https://www.imdb.com/title/tt1675434/
Nuovo Cinema Paradiso,,8.5,"Drama, Romance","Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Giuseppe Tornatore,https://www.imdb.com/title/tt0095765/
Alien,,8.5,"Horror, Sci-Fi","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott,https://www.imdb.com/title/tt0078748/
Modern Times,,8.5,"Comedy, Drama, Romance",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,https://www.imdb.com/title/tt0027977/
Rear Window,,8.5,"Drama, Mystery, Thriller",A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Alfred Hitchcock,https://www.imdb.com/title/tt0047396/
